title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
Dekalog (1988);1996;TV-MA;Facets Multimedia Distribution;9 h 32 m;False;100;7.5;13;100.0;Drama;Krzysztof Kieslowski;Krzysztof Kieslowski, Krzysztof Piesiewicz;This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time. Shot by nine different cinematographers, with stirring music by Zbigniew Preisner and compelling performances from established and unknown actors alike, Dekalog arrestingly explores the unknowable forces that shape our lives. Also available are the longer theatrical versions of the series’ fifth and sixth films: A Short Film About Killing and A Short Film About Love. [Janus Films].
The Godfather;1972;R;Paramount Pictures;2 h 55 m;True;100;9.3;16;3.0;Crime, Drama;Francis Ford Coppola;Mario Puzo, Francis Ford Coppola;Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures].
Tokyo Story;1972;Not Rated;New Yorker Films;2 h 16 m;True;100;8.2;19;132.0;Drama;Yasujirô Ozu;Kôgo Noda, Yasujirô Ozu;Yasujiro Ozu’s Tokyo Story follows an aging couple, Tomi and Sukichi, on their journey from their rural village to visit their two married children in bustling, postwar Tokyo. Their reception is disappointing: too busy to entertain them, their children send them off to a health spa. After Tomi falls ill she and Sukichi return home, while the children, grief-stricken, hasten to be with her. From a simple tale unfolds one of the greatest of all Japanese films. Starring Ozu regulars Chishu Ryu and Setsuko Hara, the film reprises one of the director’s favorite themes—that of generational conflict—in a way that is quintessentially Japanese and yet so universal in its appeal that it continues to resonate as one of cinema’s greatest masterpieces. [Janus Films].
Citizen Kane;1941;Approved;Paramount Pictures;1 h 59 m;True;100;8.3;19;875.0;Drama, Mystery;Orson Welles;Herman J. Mankiewicz, John Houseman, Roger Q. Denny, Mollie Kent, Orson Welles;Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
Boyhood;2014;R;IFC Films;2 h 45 m;True;100;7.5;50;2.0;Drama;Richard Linklater;Richard Linklater;Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films].
The Leopard (re-release);2004;Approved;Twentieth Century Fox;3 h 6 m;False;100;7.9;12;77.0;Drama, History;Luchino Visconti;Giuseppe Tomasi di Lampedusa, Suso Cecchi D'Amico, Pasquale Festa Campanile, Enrico Medioli, Massimo Franciosa, Luchino Visconti;Set in Sicily in 1860, Luchino Visconti's spectacular 1963 adaptation of Giuseppe di Lampedusa's international bestseller is one of the cinema's greatest evocations of the past, achingly depicting the passing of an ancient order. (Film Forum)
The Conformist;1970;R;Paramount Pictures;1 h 53 m;False;100;7.3;11;101.0;Drama;Bernardo Bertolucci;Alberto Moravia, Bernardo Bertolucci;Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power. 
Three Colors: Red;1994;R;Miramax;1 h 39 m;False;100;8.3;11;230.0;Drama, Mystery, Romance;Krzysztof Kieslowski;Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Edward Klosinski, Marcin Latallo, Krzysztof Kieslowski;Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion].
Lawrence of Arabia (re-release);2002;PG;Columbia Pictures;3 h 38 m;False;100;8.6;8;426.0;Adventure, Biography, Drama, War;David Lean;Robert Bolt, Michael Wilson;The 40th anniversary re-release of David Lean's 1962 masterpiece, starring Peter O'Toole in one of the most electrifying debuts in film history.
Casablanca;1943;PG;Warner Bros.;1 h 42 m;True;100;8.8;18;581.0;Drama, Romance, War;Michael Curtiz;Julius J. Epstein, Philip G. Epstein, Howard Koch, Murray Burnett, Joan Alison, Casey Robinson;A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.
Rear Window;1954;Approved;Paramount Pictures;1 h 52 m;True;100;8.7;18;556.0;Mystery, Thriller;Alfred Hitchcock;John Michael Hayes, Cornell Woolrich;A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.
Vertigo;1958;Approved;Paramount Pictures;2 h 8 m;True;100;8.6;32;420.0;Mystery, Romance, Thriller;Alfred Hitchcock;Alec Coppel, Samuel A. Taylor, Pierre Boileau, Thomas Narcejac, Maxwell Anderson;Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. [Universal Pictures]
Notorious;1946;Approved;RKO Radio Pictures;1 h 42 m;True;100;7.8;16;116.0;Drama, Film-Noir, Romance, Thriller;Alfred Hitchcock;Ben Hecht, John Taintor Foote, Clifford Odets, Alfred Hitchcock;A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
Fanny and Alexander (re-release);2004;R;Embassy Pictures;3 h 8 m;False;100;8.4;8;129.0;Drama;Ingmar Bergman;Ingmar Bergman;Set in Sweden in the early 20th century, this film focuses on the young children of a wealthy, theatrical family.
Singin' in the Rain;1952;Approved;Metro-Goldwyn-Mayer (MGM);1 h 43 m;True;99;8.7;17;275.0;Comedy, Musical, Romance;Stanley Donen, Gene Kelly;Betty Comden, Adolph Green;A silent film production company and cast make a difficult transition to sound.
Playtime;1973;Not Rated;Continental Distributing;2 h 35 m;True;99;7.5;19;19.0;Comedy;Jacques Tati;Jacques Lagrange, Art Buchwald, Jacques Tati;Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.
Touch of Evil;1958;Approved;Universal Pictures;1 h 35 m;True;99;8.2;24;124.0;Crime, Drama, Film-Noir, Thriller;Orson Welles;Whit Masterson, Franklin Coen, Paul Monash, Orson Welles;This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable supporting cast including Janet Leigh as Heston's inquisitive wife, Akim Tamiroff as a seedy underworld leader, Zsa Zsa Gabor and Marlene Dietrich as an enigmatic gypsy complete this fascinating drama engulfed in haunting cinematography and a magnificently eerie score by Henry Mancini..
Army of Shadows;2006;Not Rated;Rialto Pictures;2 h 25 m;True;99;7.8;24;61.0;Drama, War;Jean-Pierre Melville;Joseph Kessel, Jean-Pierre Melville;Making its U.S. debut, Jean-Pierre Melville's 1969 Army of Shadows is an intimate epic of the French Resistance in WWII. 
City Lights;1931;G;United Artists;1 h 27 m;True;99;8.6;15;172.0;Comedy, Drama, Romance;Charles Chaplin;Harry Carr, Harry Crocker, Charles Chaplin;The Tramp (Charlie Chaplin) struggles to help a blind flower girl he has fallen in love with.
Moonlight;2016;R;A24;1 h 51 m;True;99;7.1;53;1.0;Drama;Barry Jenkins;Tarell Alvin McCraney, Barry Jenkins;Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.
Intolerance;1916;Passed;Triangle Distributing;2 h 43 m;True;99;6.9;15;44.0;Drama, History;D.W. Griffith;Hettie Grey Baker, Tod Browning, Anita Loos, Mary H. O'Connor, Walt Whitman, Frank E. Woods, D.W. Griffith;The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.
The Rules of the Game;1950;Not Rated;Cine Classics;1 h 50 m;True;99;7.6;21;11.0;Comedy, Drama;Jean Renoir;Carl Koch, Beaumarchais, Jean Renoir;A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.
Pinocchio;1940;G;RKO Radio Pictures;1 h 28 m;True;99;8.1;17;257.0;Animation, Adventure, Comedy, Family, Fantasy, Musical;Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen;Carlo Collodi, Ted Sears, Otto Englander, Joseph Sabo, Bill Peet, Aurelius Battaglia, Erdman Penner, William Cottrell, Webb Smith, Frank Tashlin;A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.
Seven Samurai;1956;Not Rated;Columbia Pictures;3 h 27 m;False;98;8.7;7;496.0;Action, Drama;Akira Kurosawa;Shinobu Hashimoto, Hideo Oguni, Akira Kurosawa;Seven Samurai (Shichinin no samurai) tells the story of a sixteenth-century village whose desperate inhabitants hire the eponymous warriors to protect them from invading bandits.
The Wild Bunch;1969;R;Warner Bros./Seven Arts;2 h 25 m;True;98;7.7;20;56.0;Action, Adventure, Drama, Western;Sam Peckinpah;Walon Green, Roy N. Sickner, Sam Peckinpah;"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Au hasard Balthazar;1966;Not Rated;Cinema Ventures;1 h 35 m;True;98;7.1;20;120.0;Drama;Robert Bresson;Robert Bresson;Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him.
The Lady Vanishes;1938;Not Rated;Gaumont British Picture Corporation of America;1 h 36 m;True;98;8.1;17;31.0;Mystery, Thriller;Alfred Hitchcock;Ethel Lina White, Sidney Gilliat, Frank Launder;While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.
