"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
1996;5;4;0;100;75;13;100;1;0;0;0;0;0;0;0;0;0;0
1972;4;3;1;100;93;16;3;1;1;0;0;0;0;0;0;0;0;0
1972;0;3;1;100;82;19;132;1;0;0;0;0;0;0;0;0;0;0
1941;6;2;1;100;83;19;875;1;0;1;0;0;0;0;0;0;0;0
2014;4;3;1;100;75;50;2;1;0;0;0;0;0;0;0;0;0;0
2004;6;3;0;100;79;12;77;1;0;0;0;0;0;0;0;1;0;0
1970;4;2;0;100;73;11;101;1;0;0;0;0;0;0;0;0;0;0
1994;4;1;0;100;83;11;230;1;0;1;1;0;0;0;0;0;0;0
2002;2;3;0;100;86;8;426;1;0;0;0;1;1;0;0;0;0;1
1943;2;1;1;100;88;18;581;1;0;0;1;0;0;0;0;0;0;1
1954;6;2;1;100;87;18;556;0;0;1;0;0;0;1;0;0;0;0
1958;6;3;1;100;86;32;420;0;0;1;1;0;0;1;0;0;0;0
1946;6;1;1;100;78;16;116;1;0;0;1;0;0;1;0;0;0;1
2004;4;3;0;100;84;8;129;1;0;0;0;0;0;0;0;0;0;0
1952;6;1;1;99;87;17;275;0;0;0;1;0;0;0;1;0;0;1
1973;0;3;1;99;75;19;19;0;0;0;0;0;0;0;1;0;0;0
1958;6;1;1;99;82;24;124;1;1;0;0;0;0;1;0;0;0;1
2006;0;3;1;99;78;24;61;1;0;0;0;0;0;0;0;0;0;1
1931;1;0;1;99;86;15;172;1;0;0;1;0;0;0;1;0;0;0
2016;4;2;1;99;71;53;1;1;0;0;0;0;0;0;0;0;0;0
1916;6;3;1;99;69;15;44;1;0;0;0;0;0;0;0;1;0;0
1950;0;2;1;99;76;21;11;1;0;0;0;0;0;0;1;0;0;0
1940;1;0;1;99;81;17;257;0;0;0;0;1;0;0;1;0;0;1
1956;0;3;0;98;87;7;496;1;0;0;0;0;0;0;0;0;0;1
1969;4;3;1;98;77;20;56;1;0;0;0;1;0;0;0;0;0;1
1966;0;1;1;98;71;20;120;1;0;0;0;0;0;0;0;0;0;0
1938;0;1;1;98;81;17;31;0;0;1;0;0;0;1;0;0;0;0
2002;0;1;0;98;59;12;18;1;1;0;1;0;0;0;0;0;0;0
1948;6;3;0;98;81;10;146;1;0;0;0;1;0;0;0;0;0;1
2006;4;2;1;98;88;37;1;1;0;0;0;0;0;0;0;0;0;1
1959;6;3;1;98;84;19;221;0;0;0;1;0;0;0;1;0;0;1
1959;6;3;1;98;81;16;248;0;0;1;0;1;0;1;0;0;0;1
1994;3;3;1;98;79;19;95;1;0;0;0;0;0;0;0;0;1;1
1951;0;0;1;98;84;18;106;1;1;1;0;0;0;0;0;0;0;0
1929;6;2;1;98;81;21;12;1;0;0;0;0;1;0;0;1;0;0
1950;6;3;1;98;87;15;122;1;0;0;0;0;0;0;0;0;0;0
2002;0;3;0;98;85;14;228;1;0;0;0;0;0;0;0;0;0;1
1962;0;2;1;97;69;18;31;1;0;0;1;0;0;0;0;0;0;0
1989;4;1;1;97;83;18;104;1;0;0;0;0;1;0;0;0;0;0
1955;6;0;1;97;82;21;143;1;1;0;0;0;0;1;0;0;0;1
1985;4;3;1;97;84;21;206;1;0;0;0;0;0;0;0;0;0;1
1940;6;3;1;97;82;19;274;1;0;0;1;0;0;0;0;0;0;1
1949;2;1;1;97;84;30;122;0;0;1;0;0;0;1;0;0;0;1
1964;6;1;1;97;83;32;835;0;0;0;0;0;0;0;1;0;0;1
2021;6;1;1;97;81;16;145;1;0;0;0;0;0;0;0;1;0;1
2000;0;2;0;97;81;13;47;1;1;0;0;0;0;1;0;0;0;0
1960;6;2;1;97;87;18;620;0;0;1;0;0;0;1;0;0;0;1
2008;0;2;1;97;80;37;243;1;0;0;0;0;0;0;0;0;0;0
